name,msa,source,tagline,location,url
Sisu Global Health,baltimore,jhu_known,,,
WindMIL Therapeutics,baltimore,jhu_known,,,
Graybug Vision,baltimore,jhu_known,,,
PathoVax,baltimore,jhu_known,,,
Haystack Oncology,baltimore,jhu_known,,,
Neuraly,baltimore,jhu_known,,,
Theradaptive,baltimore,jhu_known,,,
RedShift Bioanalytics,baltimore,jhu_known,,,
Asclepix Therapeutics,baltimore,jhu_known,,,
Dracen Pharmaceuticals,baltimore,jhu_known,,,
Tao Life Sciences,baltimore,jhu_known,,,
Squalus Medical,baltimore,jhu_known,,,
PapGene,baltimore,jhu_known,,,
Ananda Devices,baltimore,jhu_known,,,
Vasoptic Medical,baltimore,jhu_known,,,
Clear Guide Medical,baltimore,jhu_known,,,
GeoVax Labs,atlanta,emory_known,,,
Clearside Biomedical,atlanta,emory_known,,,
Micromedicine,atlanta,gatech_known,,,
Axion BioSystems,atlanta,gatech_known,,,
CardioMEMS,atlanta,gatech_known,,,
Cellect Biotechnology,atlanta,emory_known,,,
Boli Therapeutics,atlanta,emory_known,,,
Atomwise,atlanta,gatech_known,,,
Florence Healthcare,atlanta,emory_known,,,
Sharecare,atlanta,emory_known,,,
Andson Biotech,atlanta,emory_known,,,
EnsoData,atlanta,emory_known,,,
OmniLytics,atlanta,gatech_known,,,
Sanguina,atlanta,emory_known,,,
MicroScrew,atlanta,gatech_known,,,
Peloton Therapeutics,dallas,utsw_known,,,
Reata Pharmaceuticals,dallas,utsw_known,,,
Lantern Pharma,dallas,utsw_known,,,
Taysha Gene Therapies,dallas,utsw_known,,,
Colossal Biosciences,dallas,utsw_known,,,
Ridgeline Therapeutics,dallas,utsw_known,,,
Otonomy,dallas,utsw_known,,,
Vyripharm Biopharmaceuticals,dallas,utsw_known,,,
AvidBiotics,dallas,utsw_known,,,
Alecto Therapeutics,dallas,utsw_known,,,
Encore Vision,dallas,utsw_known,,,
ZS Pharma,dallas,utsw_known,,,
Krystal Biotech,pittsburgh,pitt_known,,,
Cognition Therapeutics,pittsburgh,pitt_known,,,
Forest Devices,pittsburgh,pitt_known,,,
Renerva,pittsburgh,pitt_known,,,
Cernostics,pittsburgh,pitt_known,,,
Ondine Biomedical,pittsburgh,pitt_known,,,
Predictive Oncology,pittsburgh,pitt_known,,,
Ariel Precision Medicine,pittsburgh,pitt_known,,,
Generian Pharmaceuticals,pittsburgh,pitt_known,,,
Adva Biotechnology,pittsburgh,pitt_known,,,
Carmell Therapeutics,pittsburgh,pitt_known,,,
ChemImage,pittsburgh,cmu_known,,,
Innovu,pittsburgh,cmu_known,,,
